city,state
Doda,JK - Ladakh
Jammu,JK - Ladakh
Kathua,JK - Ladakh
Kishtwar,JK - Ladakh
Poonch,JK - Ladakh
Rajouri,JK - Ladakh
Ramban,JK - Ladakh
Reasi,JK - Ladakh
Samba,JK - Ladakh
Udhampur,JK - Ladakh
Anantnag,JK - Ladakh
Bandipora,JK - Ladakh
Baramulla,JK - Ladakh
Budgam,JK - Ladakh
Ganderbal,JK - Ladakh
Kulgam,JK - Ladakh
Kupwara,JK - Ladakh
Pulwama,JK - Ladakh
Shopian,JK - Ladakh
Srinagar,JK - Ladakh
Leh,JK - Ladakh
Kargil,JK - Ladakh
Ladakh,JK - Ladakh
Amritsar,Punjab
Barnala,Punjab
Bathinda,Punjab
Faridkot,Punjab
Fatehpur Sahib,Punjab
Firozpur,Punjab
Fazilka,Punjab
Gurdaspur,Punjab
Hoshiarpur,Punjab
Jalandhar,Punjab
Kapurthala,Punjab
Ludhiana,Punjab
Mansa,Punjab
Moga,Punjab
Sri Muktsar Sahib,Punjab
Pathankot,Punjab
Patiala,Punjab
Rupnagar,Punjab
Mohali,Punjab
Sangrur,Punjab
Nawanshahr,Punjab
Taran Taran Sahib,Punjab
